freqs,channel,p1,chi2
85.9375,5,0.1375,1.2358
85.9375,6,0.0745,7.0172
85.9375,7,4.8193,94.001
85.9375,8,0.1648,61.164
85.9375,9,0.0922,1.2597
85.9375,10,0.1438,3.3396
85.9375,11,5.4574,88.9214
85.9375,12,0.1789,276.3519
85.9375,13,0.115,1.4044
85.9375,14,0.1182,1.3125
85.9375,15,5.1629,79.0404
87.8906,0,0.1921,24.589
87.8906,1,0.1257,1.9037
87.8906,2,0.1636,1.5769
87.8906,3,4.0461,77.0669
87.8906,4,0.1782,55.5319
87.8906,5,0.1391,1.1408
87.8906,6,0.0779,8.2099
87.8906,7,4.9559,73.4757
87.8906,8,0.1743,109.0169
87.8906,9,0.0946,1.7298
87.8906,10,0.1454,4.2953
87.8906,11,5.477,81.7738
87.8906,12,0.1936,438.491
87.8906,13,0.1185,1.3678
87.8906,14,0.1197,1.5772
87.8906,15,4.8608,79.4219
89.8438,0,0.1942,26.7951
89.8438,1,0.125,1.2209
89.8438,2,0.163,1.4818
89.8438,3,3.9675,73.9944
89.8438,4,0.1771,62.3397
89.8438,5,0.1373,1.0852
89.8438,6,0.0743,1.9742
89.8438,7,4.9377,73.9215
89.8438,8,0.1739,129.7733
89.8438,9,0.0911,1.0882
89.8438,10,0.1428,3.0925
89.8438,11,5.4452,65.5877
89.8438,12,0.1984,605.3568
89.8438,13,0.1163,1.3175
89.8438,14,0.1174,1.2844
89.8438,15,4.7774,90.4202
91.7969,0,0.1874,21.6905
91.7969,1,0.1224,1.3165
91.7969,2,0.1618,1.3351
91.7969,3,4.0117,87.1006
91.7969,4,0.1713,46.6408
91.7969,5,0.135,1.1604
91.7969,6,0.0678,1.0303
91.7969,7,5.1298,81.1037
91.7969,8,0.1652,113.299
91.7969,9,0.0867,1.1309
91.7969,10,0.139,1.4758
91.7969,11,5.326,70.4931
91.7969,12,0.1917,616.5106
91.7969,13,0.1109,1.3854
91.7969,14,0.1135,1.2641
91.7969,15,4.5373,75.9927
93.75,0,0.1783,13.2169
93.75,1,0.1184,1.2036
93.75,2,0.1608,1.5324
93.75,3,4.1694,82.4743
93.75,4,0.1649,29.4911
93.75,5,0.1382,1.0609
93.75,6,0.0696,0.9984
93.75,7,5.1102,91.8521
93.75,8,0.1594,81.003
93.75,9,0.0946,1.2149
93.75,10,0.1412,1.1436
